en;current;new
Hello!;Olá!;Olá!
Goodbye!;Adeus!;Adeus!
Welcome!;Bem-vindo!;Bem-vindo!
please;por favor;por favor
thank you;obrigado;obrigado
Sorry;Desculpe;Desculpe
yes;sim;sim
no;não;não
to say;dizer;dizer
to tell;contar;contar
to ask;perguntar;perguntar
to introduce;apresentar;apresentar
conversation;a conversa;a conversa
question;a questão;a questão
answer;a resposta;a resposta
he;ele;ele
his;seu;seu
I;eu;eu
me;me;me
mine;meu;meu
myself;eu mesmo;eu mesmo
our;nosso;nosso
she;ela;ela
us;nós;nós
you;tu;tu
your;teu;teu
yourself;tu mesmo;tu mesmo
one;um;um
two;dois;dois
three;três;três
four;quatro;quatro
five;cinco;cinco
six;seis;seis
seven;sete;sete
eight;oito;oito
nine;nove;nove
ten;dez;dez
eleven;onze;onze
twelve;doze;doze
thirteen;treze;treze
fourteen;catorze;catorze
fifteen;quinze;quinze
sixteen;dezasseis;dezasseis
seventeen;dezassete;dezassete
eighteen;dezoito;dezoito
nineteen;dezanove;dezanove
twenty;vinte;vinte
thirty;trinta;trinta
forty;quarenta;quarenta
fifty;cinquenta;cinquenta
sixty;sessenta;sessenta
seventy;setenta;setenta
eighty;oitenta;oitenta
ninety;noventa;noventa
hundred;cem;cem
thousand;mil;mil
million;o milhão;o milhão
billion;o mil milhões;o mil milhões
first;primeiro;primeiro
second;segundo;segundo
third;terceiro;terceiro
fourth;quarto;quarto
fifth;quinto;quinto
half;a metade;a metade
quarter (fraction);o quarto;o quarto
number;o número;o número
amount;o montante;o montante
addition (math);a adição;a adição
division (math);a divisão;a divisão
angle;o ângulo;o ângulo
circle;o círculo;o círculo
curve;a curva;a curva
square (shape);o quadrado;o quadrado
Monday;a segunda-feira;a segunda-feira
Tuesday;a terça-feira;a terça-feira
Wednesday;a quarta-feira;a quarta-feira
Thursday;a quinta-feira;a quinta-feira
Friday;a sexta-feira;a sexta-feira
Saturday;o sábado;o sábado
Sunday;o domingo;o domingo
January;janeiro;janeiro
February;fevereiro;fevereiro
March;março;março
April;abril;abril
May;maio;maio
June;junho;junho bla bla
July;julho;julho
August;agosto;agosto
September;setembro;setembro
October;outubro;outubro
November;novembro;novembro
December;dezembro;dezembro
spring (season);a primavera;a primavera
summer;o verão;o verão
autumn;o outono;o outono
winter;o inverno;o inverno
week;a semana;a semana
weekend;o fim de semana;o fim de semana
month;o mês;o mês
year;o ano;o ano
date (calendar);a data;a data
birthday;o aniversário;o aniversário
holiday;o feriado;o feriado
vacation;as férias;as férias
season;a estação;a estação
to smell;cheirar;cheirar
to taste;provar;provar
smell;o cheiro;o cheiro
scent;o perfume;o perfume
taste (sense/ability);o sabor;o sabor
sweet;doce;doce
sour;azedo;azedo
bitter;amargo;amargo
salty;salgado;salgado
spicy;picante;picante
delicious;delicioso;delicioso
smooth;suave;suave
rough;áspero;áspero
sharp;afiado;afiado
dull;embotado;embotado
sticky;pegajoso;pegajoso
slippery;escorregadio;escorregadio
angry;zangado;zangado
attention;a atenção;a atenção
behavior;o comportamento;o comportamento
bored;aborrecido;aborrecido
comfort;o conforto;o conforto
to decide;decidir;decidir
decision;a decisão;a decisão
desire;o desejo;o desejo
dream;o sonho;o sonho
to enjoy;desfrutar;desfrutar
excited;entusiasmado;entusiasmado
experience;a experiência;a experiência
fear;o medo;o medo
feeling;o sentimento;o sentimento
happy;feliz;feliz
to hate;odiar;odiar
hope;a esperança;a esperança
idea;a ideia;a ideia
to imagine;imaginar;imaginar
interest;o interesse;o interesse
knowledge;o conhecimento;o conhecimento
love;o amor;o amor
memory;a memória;a memória
mind;a mente;a mente
opinion;a opinião;a opinião
peace;a paz;a paz
to remember;lembrar;lembrar
respect;o respeito;o respeito
sad;triste;triste
surprise;a surpresa;a surpresa
thought;o pensamento;o pensamento
to understand;compreender;compreender
thing;a coisa;a coisa
way;o caminho;o caminho
place;o lugar;o lugar
part;a parte;a parte
world;o mundo;o mundo
problem;o problema;o problema
example;o exemplo;o exemplo
group;o grupo;o grupo
fact;o facto;o facto
point;o ponto;o ponto
change;a mudança;a mudança
difference;a diferença;a diferença
end;o fim;o fim
plan;o plano;o plano
chance;a oportunidade;a oportunidade
choice;a escolha;a escolha
red;vermelho;vermelho
blue;azul;azul
yellow;amarelo;amarelo
green;verde;verde
orange (color);laranja;laranja
purple;roxo;roxo
pink;cor-de-rosa;cor-de-rosa
black;preto;preto
white;branco;branco
gray;cinzento;cinzento
brown;castanho;castanho
here;aqui;aqui
there;lá;lá
area;a área;a área
center;o centro;o centro
corner;o canto;o canto
direction;a direção;a direção
in;em;em
on;sobre;sobre
to;para;para
from;de;de
with;com;com
up;para cima;para cima
down;para baixo;para baixo
top;o topo;o topo
bottom;o fundo;o fundo
under;sob;sob
left (direction);à esquerda;à esquerda
right (direction);à direita;à direita
front;a frente;a frente
inside;dentro;dentro
outside;fora;fora
through;através de;através de
across;do outro lado;do outro lado
between;entre;entre
around;em torno de;em torno de
moment;o momento;o momento
minute;o minuto;o minuto
day;o dia;o dia
morning;a manhã;a manhã
afternoon;a tarde;a tarde
evening;a noite;a noite
midnight;a meia-noite;a meia-noite
tonight;esta noite;esta noite
period;o período;o período
time;o tempo;o tempo
clock;o relógio;o relógio
hour;a hora;a hora
today;hoje;hoje
tomorrow;amanhã;amanhã
yesterday;ontem;ontem
now;agora;agora
then;depois;depois
past;o passado;o passado
future;o futuro;o futuro
before;antes de;antes de
after;após;após
later;mais tarde;mais tarde
soon;em breve;em breve
early;cedo;cedo
beginning;o começo;o começo
during;durante;durante
till;até;até
always;sempre;sempre
never;nunca;nunca
often;frequentemente;frequentemente
sometimes;às vezes;às vezes
once;uma vez;uma vez
usually;normalmente;normalmente
ever;alguma vez;alguma vez
already;já;já
still;ainda;ainda
again;novamente;novamente
when;quando;quando
distance;a distância;a distância
centimeter;o centímetro;o centímetro
inch;a polegada;a polegada
meter;o metro;o metro
kilometer;o quilómetro;o quilómetro
mile;a milha;a milha
weight;o peso;o peso
kilogram;o quilograma;o quilograma
head;a cabeça;a cabeça
hair;o cabelo;o cabelo
face;o rosto;o rosto
brain;o cérebro;o cérebro
eye;o olho;o olho
ear;a orelha;a orelha
nose;o nariz;o nariz
mouth;a boca;a boca
lip;o lábio;o lábio
tongue;a língua;a língua
tooth;o dente;o dente
throat;a garganta;a garganta
voice;a voz;a voz
hearing;a audição;a audição
neck;o pescoço;o pescoço
shoulder;o ombro;o ombro
chest;o peito;o peito
back (body part);as costas;as costas
arm;o braço;o braço
hand;a mão;a mão
finger;o dedo;o dedo
thumb;o polegar;o polegar
nail (body part);a unha;a unha
heart;o coração;o coração
breath;a respiração;a respiração
stomach;o estômago;o estômago
leg;a perna;a perna
knee;o joelho;o joelho
foot;o pé;o pé
toe;o dedo do pé;o dedo do pé
body;o corpo;o corpo
skin;a pele;a pele
muscle;o músculo;o músculo
bone;o osso;o osso
flesh;a carne;a carne
blood;o sangue;o sangue
sense;o sentido;o sentido
sex;o sexo;o sexo
birth;o nascimento;o nascimento
death;a morte;a morte
wound;a ferida;a ferida
tail;a cauda;a cauda
wing;a asa;a asa
care;o cuidado;o cuidado
cough;a tosse;a tosse
diet;a dieta;a dieta
disease;a doença;a doença
doctor;o médico;o médico
drug (medicine);o medicamento;o medicamento
exercise;o exercício;o exercício
gym;o ginásio;o ginásio
health;a saúde;a saúde
injury;a lesão;a lesão
medicine;a medicina;a medicina
nurse;o enfermeiro;o enfermeiro
pain;a dor;a dor
patient;o paciente;o paciente
poison;o veneno;o veneno
aunt;a tia;a tia
brother;o irmão;o irmão
cousin;o primo;o primo
dad;o pai;o pai
daughter;a filha;a filha
grandfather;o avô;o avô
grandmother;a avó;a avó
husband;o marido;o marido
mother;a mãe;a mãe
parent;o progenitor;o progenitor
sister;a irmã;a irmã
son;o filho;o filho
uncle;o tio;o tio
wife;a esposa;a esposa
adult;o adulto;o adulto
baby;o bebé;o bebé
boy;o rapaz;o rapaz
child;a criança;a criança
girl;a rapariga;a rapariga
man;o homem;o homem
people;as pessoas;as pessoas
person;a pessoa;a pessoa
woman;a mulher;a mulher
boyfriend;o namorado;o namorado
girlfriend;a namorada;a namorada
